dialog_act,utterance,prediction
inform,bistro food,inform
affirm,yes,affirm
inform,moderately priced restaurant in the south part of town,inform
inform,mediterranean,no dialog
request,type of food,request
request,whats the phone number,request
inform,part of town that serves chinese food,inform
inform,i need one in the cheap price range,request
no dialog,okay,ack
negate,no im sorry it should be expensive,negate
request,what type of food,inform
reqalts,how about a cheap asian oriental restaurant,reqalts
inform,cheap restaurant,inform
reqalts,how about vietnamese,reqalts
inform,moderate price in south,inform
inform,european food,inform
inform,im looking for a moderately priced restaurant that serves turkish food,inform
request,and the phone number,request
reqalts,how about italian food,reqalts
reqalts,okay how about italian food,reqalts
no dialog,may i,no dialog
reqalts,is there another restaurant in the west of town,confirm
inform,i dont care tv_noise,inform
inform,im moderate priced restaurant in the north part of town,inform
request,and what type of whats the phone number,request
inform,breath id like to find a moderately priced restaurant in the west part of,inform
inform,im looking for an moderately restaurant and it should be in the south part of town,inform
inform,um want to find a moderately priced restaurant in the,inform
request,post code,request
inform,moderately priced,inform
inform,i want a polynesian restaurant in the north part of town,inform
inform,restaurant serving english food,inform
request,okay and uh the phone number,request
inform,and asian,inform
inform,french,no dialog
inform,south part of town,inform
affirm,yes expensive,affirm
reqalts,how about in any area,reqalts
inform,italian,inform
reqalts,what about gastropub type of foo,inform
reqalts,how about moroccan food,reqalts
inform,im looking for a restaurant that serves romanian food,inform
no dialog,okay how about,no dialog
inform,greek food,inform
inform,chinese food,inform
inform,uh im looking for a cheap restaurant in the south part of town,inform
inform,i want to find an expensive restaurant that,inform
request,could i have the address and phone number,request
request,could i have the phone number,request
inform,i need a moderately priced restaurant,inform
reqalts,how about european,reqalts
inform,corsica,no dialog
inform,im looking for a cheap restaurant serving kosher food,inform
request,may i have the address and post code,request
inform,um i want a restaurant in the north side of town and i want to eat christmas food,inform
request,how about the address,request
inform,austrian,no dialog
inform,cross over food,inform
reqalts,how about indian,reqalts
inform,international,no dialog
inform,id like a cheap restaurant that serves steakhouse,inform
inform,moderate restaurant catalan food,inform
inform,gastropub,inform
inform,okay looking for a cheap restaurant serving caribbean food,inform
request,and their address,request
inform,expensive expensive,inform
inform,cheap restaurant in he north part of town,inform
request,what type of venue,request
inform,does not matter,inform
request,where is it,request
inform,what about mediterranean food,reqalts
inform,im looking for a spanish restaurant,inform
inform,im looking for a spanish food restaurant,inform
affirm,perfect,no dialog
inform,i want to find a moderately priced restaurant and it should be in the,inform
request,whats the addre,request
inform,austrian food,inform
inform,ah can i find a unintelligible restaurant serving scotch food,inform
inform,chinese chinese,inform
thankyou,thank you and goodbye,thankyou
inform,im looking for an expensive restaurant in the east part of town,inform
inform,im looking for a cheap restaurant serving russian food,inform
request,i need a special restaurant serving christmas food,inform
inform,find restaurant in north part of town serving fusion food,inform
inform,find restaurant in north part of town serving asian,inform
inform,danish,no dialog
hello,hello,hello
inform,ah i dont care,inform
request,what area of town,request
inform,im looking for a restaurant that serves african food,inform
inform,im looking for an expensive restaurant that serves european food,inform
inform,i want a cheap hungarian food restaurant,inform
inform,im looking for a moderately priced restaurant that serves canapes,inform
inform,belgium,no dialog
negate,no i want belgium food,negate
request,where are they located,request
inform,im looking for vietnamese food in the north part of town,inform
reqalts,how about the west area,reqalts
reqalts,what about chineese,reqalts
request,okay i need the address,request
inform,barbecue food west part of town,inform
thankyou,noise thank you good bye,thankyou
affirm,yes in the north part of town,affirm
reqalts,how about italian,reqalts
confirm,does it serve spanish food,confirm
inform,restaurant in the east part of town japanese,inform
no dialog,and,no dialog
inform,the west part of town i want,inform
inform,persian,no dialog
request,can i have the address and post code,request
no dialog,how about unintelligible,reqalts
request,what do they serve,request
inform,im looking for a restaurant with thai type,inform
affirm,ah yes im looking for persian food though,affirm
negate,no moderately priced,negate
request,phone number please,request
inform,french food,inform
reqalts,how about somewhere serving modern european,reqalts
inform,im looking for a restaurant that serves modern european food,inform
confirm,is it moderately priced,confirm
request,okay could you give me the phone number,request
inform,south of town,inform
inform,cheap restaurant west part of town,inform
reqalts,how about mediterranean,reqalts
request,and whats their phone number,request
inform,canapes,no dialog
inform,im looking for spanish food,inform
thankyou,thank you and good,thankyou
inform,i want to find a restaurant in any area,inform
request,where is one,request
no dialog,so,no dialog
reqalts,what about the center of town,inform
inform,im looking for a restaurant in the west part of town that serves danish food,inform
thankyou,thank you bye,thankyou
inform,i would like a moderately priced restaurant,inform
bye,okay well thank you good bye,thankyou
inform,restaurant south,inform
request,where is the location,request
hello,hi i am looking for a moderately priced restaurant in the east part of town,hello
request,what kind of food do they have there,request
inform,crossover food in the north part of town,inform
request,what is the phone number of that venue,request
thankyou,okay thank you,thankyou
reqalts,um how about italian food,reqalts
reqalts,is there a restaurant serving italian food,reqalts
request,what is their address and phone number,request
request,i can have the address the phone number and the post code of the,request
inform,south south,inform
thankyou,uh thank you good bye,thankyou
inform,catalan food,inform
inform,i want a restaurant in the west part of town that serves jamaican,inform
inform,the center of town,inform
inform,im looking for moderately priced restaurant in the north part,inform
inform,modern european foo,deny
no dialog,the addre,request
inform,may i have the cheap restaurant in the south part of town,inform
reqalts,uh how about chinese food,reqalts
inform,im looking for chinese food,inform
no dialog,i am,no dialog
inform,restaurant in the south part of town,inform
inform,im looking for a restaurant in the center serving,inform
inform,i want mediterranean food,inform
no dialog,im sorry,no dialog
inform,canope food,inform
bye,okay cool thank you good bye,bye
inform,east part of town serving swedish food,inform
inform,south noise,inform
request,phone number and price range,request
negate,no im looking for a unintelligible that serves english food,negate
reqalts,what about spanish food,reqalts
inform,whats a cheap restaurant on the east part of town,inform
request,and post code,request
hello,hi im looking for a restaurant in the east art of town,hello
inform,i dont know,inform
inform,for a restaurant,inform
request,address and type of food,request
reqalts,do you have anything else,reqalts
inform,im looking for cheap german food,inform
inform,may i have a moderately priced restaurant serving english,inform
inform,scandinavian,no dialog
inform,im looking for a cheap restaurant that serves swedish food,inform
request,what type of food does the venue serve,request
inform,romanian food,inform
request,address and price range,request
reqalts,how about vietnamese type of food,reqalts
request,whats its address,request
inform,i want christmas food,inform
request,food do they serve,confirm
inform,any any part of town,inform
inform,im looking for a european restaurant in center area,inform
request,and the type of food,inform
confirm,does it serve kitalian food,confirm
inform,ok talian food,inform
inform,i am looking for italian,inform
inform,im looking for kitalian food in an expensive res,inform
request,can i have the phone,no dialog
request,could i have the address and price range please,request
reqalts,how about itailian,reqalts
request,what is its phone number,request
inform,uh dont care,inform
inform,change that to any price range,inform
request,whats the post code noise,request
inform,moderately priced spanish restaurant,inform
inform,expensive restaurant in the east part of town,inform
inform,swedish food,inform
inform,i want to find a restaurant in the east part of town that serves canapes foo,inform
confirm,does it serve canapes food,confirm
inform,french restaurant,inform
request,ah a phone number,request
reqalts,what about british,reqalts
request,what is the address phone number and post code,request
inform,im looking for a restaurant that serves thai food and i dont care about the price,affirm
request,and what is the area,request
inform,im looking for a cheap restaurant serving belgain food,inform
inform,im looking for an expensive restaurant in a,inform
inform,japanese food,inform
inform,i dont care about the price range i need bask food,inform
affirm,yes barbecue food,affirm
reqalts,how about international,reqalts
request,do you have the phone number and post code,request
inform,i want a moderately priced restaurant in the east,inform
inform,african,no dialog
request,and the postcode,request
request,and their phone number,request
hello,hi im looking for a restaurant that serves spanish food,hello
request,okay can i have the phone number and address,request
inform,venesian,no dialog
inform,breath expensive,inform
no dialog,serving in,no dialog
reqalts,can you give me a restaurant in east part of town and,ack
inform,i want lebanese food,inform
inform,im looking for an ex,inform
inform,im looking for an expensive restaurant and it should serve fus,inform
inform,for a cheap restaurant in the east part of town,inform
inform,uh turkish,inform
inform,uh cheap restaurant malaysian food,inform
inform,im looking for a restaurant that serves unintelligible food,inform
negate,no im looking for a unintelligible swiss food,negate
no dialog,whats the unintelligible,no dialog
inform,im looking for an expensive restaurant that serves swiss food,inform
inform,im looking for a cheap restaurant and it should serve polish food,inform
inform,in any area,inform
inform,expensive restaurant expensive restaurant east,inform
affirm,uh yes international food please,affirm
request,type of food do they serve,request
inform,i need an expensive restaurant,inform
inform,what about a moderately priced re,reqalts
confirm,is it in the south part of town,confirm
inform,for a moderately priced restaurant,inform
inform,scottish food,inform
inform,im looking for a restaurant in the west part of town with,inform
inform,with scottish,inform
reqalts,is there a restaurant serving indian food,reqalts
inform,is there a restaurant serving indian type of food,reqalts
reqalts,how about south part of town,reqalts
inform,uh im not interested in the type,no dialog
inform,id like to find a restaurant that serves portuguese food,inform
request,id like the address and area,request
inform,uh moderate,inform
inform,im looking for restaurant in the south part of town that serves english food,inform
inform,im looking for a expensive restaurant that serves indonesian food,inform
inform,is there an expensive restaurant serving thai food,inform
inform,uh anywhere,inform
reqalts,next,no dialog
request,and address,request
reqalts,how about singaporean food,reqalts
request,id like the phone number of the restaurant you just told me,request
request,what is the golden woks address,request
no dialog,what is one of them,request
request,whats their post code,request
request,what area is it located,request
inform,uh west,inform
no dialog,i want,inform
thankyou,oh thank you goodbye,thankyou
inform,can i find something in the west part of town,inform
request,may i have the address of it,request
request,can i have the address phone number and,request
request,can i get address phone number,request
request,can i have the address and the phone number of the venue,request
request,could i have the phone number and address please,request
inform,a indian restaurant,inform
request,area of the food of the venue,request
inform,um is there one selling indian,inform
request,okay can i have the address and the phone number,request
inform,im looking for a restaurant that serves vietnamese food,inform
inform,unintelligible i dont care,inform
inform,in an expensive restaurant,inform
reqalts,is there any restaurant,confirm
inform,i need a restaurant in the east part of town that serves world food,inform
no dialog,what do you recommend,request
inform,i want to find a restaurant that serves vietnamese,inform
inform,looking for a restaurant in any area that serves mediterranean,inform
bye,yawning thank you and good bye,thankyou
inform,restaurant in the east side of town,inform
inform,im looking for a moderately priced restaurant and it should serve,inform
inform,im looking for a,inform
inform,moderate price north part of town,inform
request,what is there phone number,request
inform,id like to find a cheap restaurant serving mexican,inform
request,what is the food type,request
no dialog,sigh,no dialog
inform,expensive restaurant in the east,inform
inform,any of those things,inform
inform,im looking for italian food though,inform
no dialog,whats the ph,request
request,and whats their price range,request
inform,im looking for a restaurant that serves vegetarian food,inform
inform,im looking a cheap restaurant in the south part of town,inform
inform,im looking for moderately priced restaurant that serves,inform
inform,cheap restaurant spani,inform
no dialog,nothing,no dialog
inform,uh the center,inform
inform,im looking for an expensive restaurant and it should serve vietnamese food,inform
inform,south of the town,inform
affirm,uh yes can i get a moderate moderately priced restaurant in the west part of town,affirm
confirm,okay is it in the west part of town,confirm
inform,im looking for a moderate priced restaurant that serves kosher food,inform
inform,im looking for a moderately priced restaurant that serves asian,inform
negate,no im looking for asian oriental,negate
inform,swedish food expensive,inform
inform,if there is no such venue how about european type of food,inform
inform,if there is no such venue how about european type of,negate
request,oh good whats the address,request
reqalts,what about french food,reqalts
inform,okay im looking for a restaurant serving fre,inform
inform,noise french food,inform
hello,hi i am looking for a moderately priced restaurant in the west,hello
request,uh can i get the address,request
inform,i am looking for a moderately priced restaurant in the west part o,inform
no dialog,im l,no dialog
inform,im looking for a restaurant serving pan asian foo,inform
inform,im looking for a restaurant serving asian oriental food,inform
request,what is the phone number and addre,request
affirm,uh yes im looking for a restaurant that serves afghan food,affirm
inform,centre,inform
inform,um east part of town,inform
inform,moderately priced restaurant in east part,inform
inform,a moderately priced fusion food,inform
no dialog,laughing,no dialog
inform,moderately priced in east part of town,inform
inform,im looking for a restaurant in the center of town,inform
reqalts,how about korean now,reqalts
request,is it what what price range,no dialog
affirm,uh yes can i find a cheap restaurant in the north part of town,affirm
request,okay let me have that address,request
request,okay can i have the rest of the address for da vinci,request
negate,no international,negate
reqalts,okay is there a restaurant that serves thai food,reqalts
request,okay whats the price range,request
inform,im looking for a cheap restaurant that serves brazilian,inform
inform,looking for a modernity priced restaurant in the south part of town,inform
no dialog,okay ill be there one sec,no dialog
inform,i want a moderately priced restaurant in the north part of town,inform
inform,mediterranean restaurant in any part of town,inform
request,uh no price range whats the,negate
inform,um any type,inform
inform,id like to find a restaurant serving portuguese food,inform
inform,noise ease part of town east,inform
inform,any price range noise,inform
inform,iam looking for a restaurant that serves portuguese food,inform
no dialog,what is,no dialog
reqalts,is there another,reqalts
request,could i have the phone number and post code,request
inform,im looking for a cheap creative food restaurant,inform
inform,that serves cuban food,inform
inform,is there an indian restaurant the east of town,confirm
request,can i have their address and phone number please,request
request,and what area is it in,request
inform,id like a restaurant in the west part of town that serves danish,inform
inform,could i have a restaurant that serves thai food,inform
inform,looking for romanian food in the center of town,inform
reqalts,thats great what else is there,reqalts
confirm,does it serve endonesian,inform
inform,im looking for a restaurant in the center of town that serves lebanese,inform
request,and the phone number please,request
inform,dont care west part of town,inform
inform,i want to find a restaurant in the west part of,inform
request,okay and uh whats the address,request
bye,uh thank you and good bye,bye
reqalts,how about cantonese food,reqalts
inform,im looking for a restaurant that serves polynesian food,inform
inform,im looking for a moderately priced restaurant that serves bistro,inform
inform,moderately priced restaurant in the east part of town,inform
inform,i want a restaurant in the north,inform
request,whats your address,request
affirm,yes italian food,affirm
reqalts,are there any restaurants in the south part of town that are expensive,no dialog
reqalts,how about portugeuse,reqalts
thankyou,okay and thank you and good bye,thankyou
inform,ostro asian,inform
request,what part of town is it in,request
request,what part of town is chiquito mexican restaurant in,request
inform,i need a cheap restaurant,inform
inform,restaurant in the west part of town that serves,inform
inform,i want to find a restaurant in the south part of town and it shows,inform
inform,it should be in the north part of town,inform
inform,i want a restaurant in the center that serves french food,inform
request,where is it lcoated,request
inform,im looking for a restaurant serving lebanese food,inform
inform,is there an indian restaurant in the south of town,confirm
inform,that can serve kosher food,inform
inform,that serves korean food,inform
inform,can i have the european food,inform
inform,can i have it in any price range,reqalts
hello,hi im looking for a moderately priced restaurant in the south part of,hello
affirm,uh yes turkish food,inform
inform,okay cheap turkish food,inform
inform,looking for something cheap in the north side of town,inform
request,okay how bout their phone number,request
inform,im looking for an expensive restaurant in the east part,inform
inform,find me an expensive restaurant,inform
request,what kind of food does it,request
request,could you repeat the phone number,request
inform,that serves swiss food,inform
request,may i have the address phone number and price range,request
reqalts,i want another restaurant that serves spanish food,reqalts
request,okay good whats the address and phone number,request
inform,earetree mediterranean food,inform
reqalts,can i have something else,reqalts
negate,no i need a restaurant in the west part of town,negate
