dialog_act,utterance,prediction
reqalts,there any other,reqalts
request,uh can i get the post code and phone number,request
inform,id like a restaurant in any area that serves japanese food,inform
request,what type of food does it,request
inform,noise vietnamese,inform
request,may i have the address and type of food,request
reqalts,are there any others,inform
request,okay what is the phone number and area of the venue,request
inform,can i get a restaurant in the south part of town that serves cuban food,inform
request,what is the address and the type of food,request
request,okay and what kind of food do they serve,request
reqalts,how about gastropub type of food,reqalts
inform,in the west of town,inform
inform,may i have a list of venues in the west part of town,inform
inform,restaurant in the north,inform
reqalts,okay how about french,reqalts
request,can i have the phone number and post code of the venue,request
request,can i have an address and phone number,request
inform,italian restaurant,inform
inform,bask food,inform
inform,i want swiss food,inform
inform,i am looking for a cheap restaurant in the east part of town,inform
request,what is the address and type of food they serve,request
inform,is there an expensive,inform
inform,is there one that serves creative,inform
inform,find me a moderately priced restaurant in the west part of town,inform
inform,a cheap restaurant in the north part of town,inform
no dialog,type,no dialog
inform,cheap restaurant in the north of town,inform
inform,i am looking for a cheap restaurant,inform
inform,and it should be in the west part of town,inform
request,can i get the number,request
inform,find me a restaurant in the center of town,inform
reqalts,uh what about italian food,reqalts
inform,can i have a restaurant in the south part of town,inform
reqalts,um how about thai food,reqalts
inform,im looking for restaurant that serves portuguese food,inform
inform,ne vietnamese,inform
inform,a restaurant in the center,inform
inform,i need a moderately priced restaurant that serves caribbean food,inform
request,and what is their phone number,request
reqalts,how about italian food in the west of town,reqalts
inform,i dont care what price range,inform
reqalts,um how about spanish food,reqalts
inform,im looking for an expensive,inform
inform,im looking for a restaurant in the west part of town serving korean,inform
hello,hi im looking for a rerestaurant that serves cuban food,hello
request,can i have the address and the,request
inform,im looking for an expensive restaurant and it should,inform
reqalts,how about a moderately priced restaurant that serves spanish,reqalts
inform,looking for a cheap restaurant in the west part of town,inform
inform,i am looking for a restaurant in the south part of town,inform
no dialog,what about us,no dialog
reqalts,is there anything that serves north american,reqalts
request,can i have the phone number and post code please,request
confirm,is that mexican food,confirm
inform,i need asian food,inform
inform,serving barbecue food,inform
request,excellent can you give me the phone number please,request
inform,im looking for a cheap restaurant and it should be in north part of town,inform
reqalts,what about cuban food,reqalts
inform,moderately priced french food,inform
request,may i get the address and phone please,request
inform,chinese food please,inform
bye,okay thank you very much and good bye,thankyou
inform,im looking for a restaurant serving romanian food,inform
inform,i am looking for a cheap restaurant in the west part of town,inform
request,could i get their address and phone number,request
inform,european food expensive restaurant,inform
inform,asian food,inform
inform,do you have vietnamese food,inform
inform,im looking for a restaurant serving asian oriental,inform
inform,im looking for a cheap restaurant that serves jamaican food,inform
inform,um world food,inform
inform,there korean food,inform
inform,is there staurant that serves unusual food,confirm
inform,ringing i need a moderately priced restaurant,inform
inform,im looking for a restaurant with irish food,inform
inform,if there is no such venue how about vietnamese type of food,inform
inform,it serves turkish food,inform
inform,cuban restauran,inform
inform,a cuban restaurant cuban restaurant,inform
inform,im looking for a moderately priced restaurant serving world food,inform
inform,i dont care about price range,inform
hello,laughing hello,hello
inform,i want a restaurant in the west part of town serving australian food,inform
confirm,is there a british restaurant in the west of town,confirm
request,and would you be able to tell me the phone number,request
inform,um cheap,inform
inform,cheap restaurant in th east part of town,inform
negate,no i am looking for a vietnamese restaurant,negate
request,whats the address phone number and area of the venue,request
inform,ok i want to find a restaurant in the south part of town,inform
request,address and the post code,request
hello,hi i am looking for restaurant in the west part of town that serves danish food,hello
inform,is a restaurant in the west part of town that serves,inform
reqalts,another type of food,inform
inform,indonesian food east part of town,inform
inform,i need to find a restaurant in the west part of town that serves chinese food,inform
inform,chinese food thats moderately priced,affirm
inform,looking for a restaurant in the north part of town and it should serve korean food,inform
reqalts,uh what about indian,reqalts
inform,restaurant there,reqalts
inform,a restaurant in the west part of town,inform
request,an address,request
inform,i want to find a restaurant in the west part of town,inform
inform,i want to find a restaurant in the center and it should serve vietnamese food,inform
inform,a cheap restaurant serving caribbean food,inform
request,what area are the asian oriental restaurants,reqalts
inform,looking for a restaurant in the north side of town,inform
negate,no im looking for a moderately priced restaurant that serves kosher food,negate
negate,no cheap restaurant in the south part of town,negate
negate,no singaporean,negate
inform,singaporean,no dialog
inform,can i find something in the south side,inform
inform,im looking for a restaurant in the center of town that serves mediterranean,inform
reqalts,how about canape food,reqalts
reqalts,how about canape,reqalts
reqalts,how about canapes,reqalts
inform,vietnamese vietnamese food,inform
inform,portuguese food noise,inform
negate,no gastropub,negate
inform,id like a moderately priced restaurant,inform
inform,in the east part of,inform
inform,looking in the west of town moderately priced,inform
affirm,oh god uh yes mediterranean food,affirm
request,uh i want the address of the or the address of the mediterranean food part,request
inform,well what about chinese food,reqalts
inform,im kind of looking for some french food,inform
inform,i would like singaporean food,inform
inform,i want a restaurant in the north part of town that serves swiss food,inform
request,could i have the address phone number,request
inform,is there one that serves asian oriental food,inform
confirm,is that the north part of town south part of town,inform
inform,i need a restaurant in the moderate price range,inform
inform,vietnamese food in any price range,inform
inform,sells english food,inform
reqalts,are there any restaurants serving turkish food,reqalts
negate,no im looking for eritrean food,negate
inform,noise hungarian,inform
inform,looking for something cheap on the east part of town,inform
request,okay and their address,request
inform,moderately priced south of town,inform
request,may i have the address and phone number and post code,request
inform,may i have an expensive restaurant,inform
reqalts,how about a restaurant in the west part of town serving vietnamese food,reqalts
inform,looking for a cheap restaurant east part of town,inform
inform,im looking for a restaurant in the south part of town that serves creative food,inform
inform,cheap food,inform
inform,thats not important,no dialog
inform,greek restauran,inform
inform,i would like irish food in the north part of town,inform
confirm,is it in the north part of town,confirm
reqalts,what about the north part of town,inform
inform,crossover,no dialog
inform,im looking for a restaurant in any area that serves belgian food,inform
inform,i want a singaporean food restaurant,inform
inform,expensive restaurant breath,inform
affirm,uh yes id like a restaurant in the west part of town and it should serve christmas food,affirm
inform,okay uh forget that then can i get a restaurant serving italian food,inform
request,what are the price ranges,request
inform,im looking for bistro food,inform
affirm,yes korean food,affirm
inform,restaurant center serves spanish food,inform
inform,turkish type food,inform
inform,spanish food in west area,inform
inform,um i need a vietnamese restaurant in any price range,inform
inform,a cheap restaurant and it should be in the west part of town,inform
inform,im looking for a restaurant in the south part of town and it should serve canapes food,inform
reqalts,how about oriental type of food,reqalts
inform,i dont care in the north part of town,inform
request,talking whats the address,request
request,whats the phone number for hotel dubai,request
inform,expnsive,no dialog
inform,in west part of town,inform
inform,could i have a moderately priced restaurant that serves thai food please,inform
negate,no vietnamese food,negate
inform,south part of town persian food,inform
reqalts,um what about chinese,reqalts
inform,looking for a cheap spanish restaurant,inform
inform,asian oriental type food,inform
affirm,uh yes i would like a restaurant in the south,affirm
reqalts,okay how about indian food,reqalts
request,what food do they serve,request
inform,could i have a restaurant that serves asian oriental food,inform
reqalts,is there a restaurant in the north part of town that serves unusual food,reqalts
reqalts,is there a restaurant in the north part of town that serves indian food,reqalts
inform,were else food,deny
request,the address and post code,request
inform,i want an indonesian restaurant in the north part of town,inform
reqalts,how about gastro type,reqalts
request,may i have the address phone number and postcode,request
ack,fine,no dialog
request,tasty then whats the phone number,request
reqalts,how about cheap,no dialog
request,could i get the address please,request
inform,find cheap restaurant,inform
inform,hold on im working hold on gastro pub,no dialog
request,whats the phone number of burger kitchen,request
inform,im looking for a restaurant in any area serving turkish food,inform
request,could i get the post code,request
inform,im looking for a restaurant in the center of town that serves lebanese food,inform
reqalts,what about in any area,reqalts
request,do you have the address of the lucky star,request
inform,im looking for a restaurant in the north part of town serving kosher food,inform
reqalts,um how about european food,reqalts
inform,breath i want to find a restaurant in the north part of town,inform
request,and phone nubmer,request
reqalts,how about american food,reqalts
inform,turkiesh food,inform
no dialog,uh continental,no dialog
request,nandos restaurant type of food,inform
inform,im looking for an expensive restaurant and it should be east part of town,inform
inform,ese food,inform
inform,dont care dont care dont care,inform
request,can i have the address phone number and area,request
inform,id like to find a moderately priced restaurant in the east part of town,inform
inform,serves lebanese food,inform
inform,im looking for greek food,inform
reqalts,noice how about european,reqalts
no dialog,nosie,no dialog
request,okay could i have the phone number and post code,request
request,and the phone number again,request
thankyou,sorry about my mistakes thank you good bye,thankyou
inform,yea im looking for a really cheap restaurant,inform
confirm,is there a chinese food,inform
affirm,uh yes im looking for a cheap restaurant that serves medetanian food,affirm
inform,im looking for an expensive restaurant in the east of town,inform
inform,expensive restaurant serving portuguese food,inform
inform,id like to find a restaurant in the north part of town serving french food,inform
request,noise address,request
inform,im looking for a restaurant that serves bistro food,inform
inform,im looking for a restaurant in any area that serves bistro food,inform
inform,im looking a restaurant in the east part of town,inform
reqalts,is there a restaurant that has british food,confirm
inform,um is doesnt matter,inform
inform,class over,no dialog
inform,want something in the south side of town thats moderately priced,inform
negate,no the south part,negate
inform,im looking for a malaysian restaurant in the north part of town,inform
inform,north part of town serving gastropub food,inform
inform,im looking for a restaurant in the north part of town serving italian type of food,request
inform,thats the north,inform
inform,im looking for romanian food in the expensive price range,inform
affirm,yes in the moderately priced,affirm
inform,im looking for a restaurant in the east part of the town with indian asian food,inform
inform,i want a moderate priced restaurant in the south of town,inform
inform,what asian oriental type of food,inform
inform,looking for an expensive restaurant in the south part of town,inform
reqalts,can i have another option,reqalts
request,i need to know the phone number and price of food,request
inform,breath im looking for a restaurant that serves cuban food,inform
inform,and at the gastropub,inform
request,okay whats the address phone number and area,request
inform,i want one in the north part of town,inform
inform,find me a cheap vietnamese restaurant,inform
inform,how european,inform
request,alright give me the address,request
inform,pub,no dialog
inform,do you have chinese food,inform
inform,id like an expensive restaurant,inform
inform,how how bout chinese food,inform
inform,um im looking for a restaurant in the center part of town that serves lebanese food,inform
inform,noise um in the east part of town,inform
reqalts,uh how about north american,reqalts
inform,i want to find a moderately priced restaurant in the east part town,inform
inform,a moderately priced restaurant in the east of town,inform
request,food of the venue,request
inform,i want a moderately priced restaurant that serves mediterranean food,inform
inform,gastropub of food,request
reqalts,how about korean type food,reqalts
request,noise phone number,request
negate,no im looking in the south of the town,negate
inform,restaurant in center,inform
inform,unitelligible food,inform
inform,im looking for thai,inform
reqalts,uh okay how about french food,reqalts
request,alright can i have the address,request
reqalts,is there a restaurant serving british food,confirm
request,okay can i have the phone number and the post code please,request
request,what is the address of prezzo,request
inform,can i get swedish food,inform
reqalts,okay is there any portuguese food,inform
inform,is there anything in the cheap price range,reqalts
inform,im looking for a moroccan restaurant in the center of town,inform
reqalts,how about moderately priced thai food,reqalts
inform,moderately priced restaurant serving moroccan food,inform
hello,hi im looking for an restaurant in the center that serves korean food,hello
confirm,does it serve korean,confirm
inform,lets see im looking for a restaurant in the north part of town that serves vietnamese food,inform
hello,hello im looking for an expensive restaurant,hello
no dialog,you have a shitty system,no dialog
bye,good bye thank you good bye,bye
inform,im looking for a restaurant that serves french food,inform
inform,a restaurant with afghan food,inform
affirm,uh yes im looking for a cheap restaurant in the west part of town,affirm
request,what area is it,request
inform,i am looking for a restaurant serving afghan food,inform
restart,oh jesus christ start over,restart
inform,find something in the north part,inform
negate,no center,negate
inform,center town,inform
inform,restaurant any area japanese food,inform
inform,not korean unintelligible,inform
request,could you repeat the restaurant name,inform
request,could you repeat the name,repeat
inform,noise looking for an expensive restaurant,inform
inform,tv_noise im looking for a restaurant in the moderately pri,inform
reqalts,is there any restaurants that serve indian food,reqalts
inform,restaurant south part of town english food,inform
no dialog,expe,no dialog
inform,im looking for an expensive restaurant and it should be served international food,inform
inform,restaurant north part of town fast food,inform
reqalts,ok how about chinese food,reqalts
inform,im looking for a restaurant in any area that serves welsh food,inform
inform,i need to find a restaurant in the north part of town that serves jamaican food,inform
inform,im looking for a restaurant in the south part of town that serves pan asian food,inform
request,can i have the address phone number,request
request,probably an address,request
inform,doesnt matter as long as it is moderately priced,inform
request,can i get their post code,request
inform,ah what have you got for thai food,request
request,alright whats their address,request
inform,im looking for an expensive restaurant in the north part of town,inform
reqalts,are there any restaurants that serve english food,inform
request,um kay whats the post code,request
reqalts,okay what about a a modern european,inform
request,do you have the phone number of the address,request
inform,im looking for a thai food restaurant and i dont care the price,inform
request,um whats the price range,request
request,okay can i have the address and phone number,request
request,well whats the phone number,request
inform,european type of food,inform
request,area of venue,inform
request,where is the phone number,request
inform,would like expensive,inform
inform,i dont care bye,bye
request,can you repeat the phone number and address please,request
request,can you repeat the address please,request
request,okay and whats the price range,request
inform,i want a restaurant that serves cantonese food,inform
inform,steak,inform
inform,welch food,inform
request,can i have the address and postal code,request
inform,expensive restaurant that serves vegetarian food,inform
thankyou,thanks us,no dialog
request,address and postcode,request
negate,no something else,negate
inform,i want french food,inform
inform,i dont give a fuck if hk fusion serves chinese food im looking for thai food,inform
inform,im looking for a moderately priced restaurant that serves scottish food,inform
confirm,is it the east part of town,confirm
inform,im looking for a restaurant in the south part of town that serves french food,inform
inform,indian food in the south,inform
inform,i need a caribbean restaurant in the south part of town,inform
inform,restaurant in the east part of town international food,inform
inform,i want to find a restaurant that serves french food,inform
reqalts,how about a moderately priced,reqalts
no dialog,would you like something,no dialog
inform,it should serve belgian food,inform
request,can i get the address phone number and price of food,request
hello,hi i need a cheap restaurant in the south part of town,hello
inform,korean restaurant,inform
inform,british food in north part of town,inform
inform,looking for a cheap restaurant that serves spanish food,inform
inform,eritrean food in the east part of town,inform
request,may i get the address phone number,request
request,and where is it,request
no dialog,carrier,no dialog
inform,im looking for a restaurant in the center of town serving german food,inform
inform,um portuguese,no dialog
reqalts,is there any other restaurant that serves turkish food,reqalts
request,okay can i have the address and post code please,request
inform,moderately priced restaurant north part of town,inform
thankyou,oh thank you good bye,thankyou
affirm,yes that serves chinese food,affirm
inform,could i have a restaurant that serves turkish food,inform
inform,i need to find one in the south part of town,inform
request,what is the address and phone number worth,request
inform,korean food price range,inform
negate,no in the south part of town,negate
inform,i want something in the south part of town,inform
inform,noise food,inform
inform,thai food in the west of town,inform
